# Sorted by appearances in unique dailies
# First section: still direct winrate
# Second section: win multiplier (wins per unique appearance) [line #392]

OpiWrites/steam's winrate: 50.0% (70 wins/140 games, 11 appearances)
dowsey's winrate: 54.55% (54 wins/99 games, 6 appearances)
Max Edward Snax/steam's winrate: 40.48% (34 wins/84 games, 6 appearances)
skrewwl00se's winrate: 23.6% (21 wins/89 games, 5 appearances)
turnipboy's winrate: 51.52% (34 wins/66 games, 5 appearances)
mintyrug's winrate: 49.21% (31 wins/63 games, 5 appearances)
Kmars133/steam's winrate: 13.56% (8 wins/59 games, 5 appearances)
drawnonward's winrate: 50.65% (39 wins/77 games, 4 appearances)
hunu's winrate: 31.58% (24 wins/76 games, 4 appearances)
yeesh's winrate: 44.93% (31 wins/69 games, 4 appearances)
abearrawr's winrate: 41.94% (26 wins/62 games, 4 appearances)
zerodoom's winrate: 52.63% (30 wins/57 games, 4 appearances)
tflameee/steam's winrate: 28.57% (16 wins/56 games, 4 appearances)
Collateral Damage/steam's winrate: 34.88% (15 wins/43 games, 4 appearances)
dels's winrate: 57.14% (24 wins/42 games, 4 appearances)
pofke's winrate: 58.54% (24 wins/41 games, 4 appearances)
warningtrack's winrate: 41.18% (7 wins/17 games, 4 appearances)
belial's winrate: 36.73% (18 wins/49 games, 3 appearances)
catnip's winrate: 26.53% (13 wins/49 games, 3 appearances)
monopolyman's winrate: 41.03% (16 wins/39 games, 3 appearances)
canadianbacon's winrate: 47.37% (18 wins/38 games, 3 appearances)
simon/steam's winrate: 6.67% (2 wins/30 games, 3 appearances)
Beanie/steam's winrate: 64.29% (18 wins/28 games, 3 appearances)
lazybear's winrate: 58.33% (14 wins/24 games, 3 appearances)
davidw's winrate: 50.0% (19 wins/38 games, 2 appearances)
kcmmmmm's winrate: 32.43% (12 wins/37 games, 2 appearances)
Sheph/steam's winrate: 11.43% (4 wins/35 games, 2 appearances)
Ryooo/steam's winrate: 38.24% (13 wins/34 games, 2 appearances)
virus's winrate: 84.85% (28 wins/33 games, 2 appearances)
lauras43/steam's winrate: 37.5% (12 wins/32 games, 2 appearances)
sergioc89's winrate: 19.35% (6 wins/31 games, 2 appearances)
Dejwid91/steam's winrate: 40.0% (12 wins/30 games, 2 appearances)
Frostie/steam's winrate: 36.67% (11 wins/30 games, 2 appearances)
Twiiford/steam's winrate: 60.71% (17 wins/28 games, 2 appearances)
w.porzuczek/steam's winrate: 39.29% (11 wins/28 games, 2 appearances)
Banana Bread/steam's winrate: 32.14% (9 wins/28 games, 2 appearances)
Cartwright/steam's winrate: 26.92% (7 wins/26 games, 2 appearances)
Jewmanji/steam's winrate: 20.83% (5 wins/24 games, 2 appearances)
CH33KS/steam's winrate: 17.39% (4 wins/23 games, 2 appearances)
beanie's winrate: 27.27% (6 wins/22 games, 2 appearances)
iggythegrifter's winrate: 22.73% (5 wins/22 games, 2 appearances)
KumaKid/steam's winrate: 22.73% (5 wins/22 games, 2 appearances)
pires's winrate: 52.38% (11 wins/21 games, 2 appearances)
PurbleCorgi/steam's winrate: 30.0% (6 wins/20 games, 2 appearances)
AndiVx/steam's winrate: 30.0% (6 wins/20 games, 2 appearances)
niymiae's winrate: 20.0% (4 wins/20 games, 2 appearances)
alibi's winrate: 36.84% (7 wins/19 games, 2 appearances)
Desiro/steam's winrate: 26.32% (5 wins/19 games, 2 appearances)
Spiraler/steam's winrate: 22.22% (4 wins/18 games, 2 appearances)
Delha/steam's winrate: 16.67% (3 wins/18 games, 2 appearances)
tak to ja/steam's winrate: 17.65% (3 wins/17 games, 2 appearances)
PieRocks/steam's winrate: 26.67% (4 wins/15 games, 2 appearances)
virifaux's winrate: 27.27% (3 wins/11 games, 2 appearances)
arturiax's winrate: 80.0% (8 wins/10 games, 2 appearances)
elvisnake's winrate: 20.0% (2 wins/10 games, 2 appearances)
yerand's winrate: 33.33% (1 wins/3 games, 2 appearances)
cameraman's winrate: 86.36% (19 wins/22 games, 1 appearances)
jd105l's winrate: 63.64% (14 wins/22 games, 1 appearances)
magicdoer1's winrate: 45.45% (10 wins/22 games, 1 appearances)
jecat's winrate: 36.36% (8 wins/22 games, 1 appearances)
ml726's winrate: 18.18% (4 wins/22 games, 1 appearances)
sykosloth's winrate: 30.0% (6 wins/20 games, 1 appearances)
ohgodaguy's winrate: 73.68% (14 wins/19 games, 1 appearances)
blackjack66/steam's winrate: 47.37% (9 wins/19 games, 1 appearances)
spedmonkey's winrate: 94.44% (17 wins/18 games, 1 appearances)
Swi1ch/steam's winrate: 66.67% (12 wins/18 games, 1 appearances)
InfamousCupcake/steam's winrate: 50.0% (9 wins/18 games, 1 appearances)
redscharlach's winrate: 38.89% (7 wins/18 games, 1 appearances)
bufalobil's winrate: 22.22% (4 wins/18 games, 1 appearances)
magician1099's winrate: 11.11% (2 wins/18 games, 1 appearances)
Calvin Schoolidge/steam's winrate: 0.0% (0 wins/18 games, 1 appearances)
sharper's winrate: 58.82% (10 wins/17 games, 1 appearances)
Toitac/steam's winrate: 58.82% (10 wins/17 games, 1 appearances)
ghostMutt/steam's winrate: 52.94% (9 wins/17 games, 1 appearances)
The Trump Wall/steam's winrate: 41.18% (7 wins/17 games, 1 appearances)
MortimerMeows/steam's winrate: 35.29% (6 wins/17 games, 1 appearances)
Lane/steam's winrate: 17.65% (3 wins/17 games, 1 appearances)
Theblon {IL A PURLOIN ?/steam's winrate: 73.33% (11 wins/15 games, 1 appearances)
jdar's winrate: 60.0% (9 wins/15 games, 1 appearances)
Corvusmellori/steam's winrate: 60.0% (9 wins/15 games, 1 appearances)
johnywayne69's winrate: 53.33% (8 wins/15 games, 1 appearances)
garethdmm's winrate: 40.0% (6 wins/15 games, 1 appearances)
//Y3Ah bOi///steam's winrate: 40.0% (6 wins/15 games, 1 appearances)
Revblis/steam's winrate: 13.33% (2 wins/15 games, 1 appearances)
smallman's winrate: 64.29% (9 wins/14 games, 1 appearances)
cruisercc18/steam's winrate: 50.0% (7 wins/14 games, 1 appearances)
ekajarmstro's winrate: 28.57% (4 wins/14 games, 1 appearances)
Rooks/steam's winrate: 21.43% (3 wins/14 games, 1 appearances)
Harren/steam's winrate: 21.43% (3 wins/14 games, 1 appearances)
Dyoobs/steam's winrate: 69.23% (9 wins/13 games, 1 appearances)
monaters's winrate: 53.85% (7 wins/13 games, 1 appearances)
nanthelas's winrate: 30.77% (4 wins/13 games, 1 appearances)
Freeboy/steam's winrate: 23.08% (3 wins/13 games, 1 appearances)
Sportle/steam's winrate: 15.38% (2 wins/13 games, 1 appearances)
Mat Pollo/steam's winrate: 15.38% (2 wins/13 games, 1 appearances)
bitch lasagna/steam's winrate: 7.69% (1 wins/13 games, 1 appearances)
40 Hands/steam's winrate: 7.69% (1 wins/13 games, 1 appearances)
intuition's winrate: 66.67% (8 wins/12 games, 1 appearances)
JeFferman9/steam's winrate: 58.33% (7 wins/12 games, 1 appearances)
walliard's winrate: 50.0% (6 wins/12 games, 1 appearances)
bluspacecrab's winrate: 50.0% (6 wins/12 games, 1 appearances)
pianoman's winrate: 41.67% (5 wins/12 games, 1 appearances)
matixter's winrate: 41.67% (5 wins/12 games, 1 appearances)
ShotKilerGamer/steam's winrate: 41.67% (5 wins/12 games, 1 appearances)
Sauerkraut/steam's winrate: 41.67% (5 wins/12 games, 1 appearances)
Casualbarbarian/steam's winrate: 41.67% (5 wins/12 games, 1 appearances)
The Narrator/steam's winrate: 33.33% (4 wins/12 games, 1 appearances)
NZBot/steam's winrate: 33.33% (4 wins/12 games, 1 appearances)
7kg Vented Tumble Dryer/steam's winrate: 33.33% (4 wins/12 games, 1 appearances)
tastyt0ast's winrate: 25.0% (3 wins/12 games, 1 appearances)
Eulenax/steam's winrate: 16.67% (2 wins/12 games, 1 appearances)
Taclis/steam's winrate: 8.33% (1 wins/12 games, 1 appearances)
Salt. (Ren)/steam's winrate: 8.33% (1 wins/12 games, 1 appearances)
